name,town,category,discontinued
Frokostplus,"Lilleringvej 14 A, 8462 Harlev J",Nhà máy chế biến,
Panenka,"Frederiksgade 35, st, 8000 Aarhus C",Nhà máy chế biến,
"Per Aarsleff, Autoriseret","Hasselager Allé 5, 8260 Viby J",Nhà máy chế biến,
Reduced ApS,"Kattegatvej 45, 2150 Nordhavn",Nhà máy chế biến,
Lille Dyrgaard Madhus & Gårdbutik,"Ogstrupgårdsvej 13B, 8530 Hjortshøj",Nhà máy chế biến,
Det Gode Køkken,"Vesterbo 2, 7500 Holstebro",Nhà máy chế biến,
Smagssans A/S,"Vibeholms Allé 20, 2605 Brøndby",Nhà máy chế biến,
"Hedensted Kommune, Kantinen","Niels Espes Vej 8, 8722 Hedensted",Nhà máy chế biến,
B. Lunch ApS Køkken,"Betonvej 10, 4000 Roskilde",Nhà máy chế biến,
Saxenhøj Cafeteria,"Nørrevang 24, 4990 Sakskøbing",Nhà máy chế biến,
The Cantina Skødstrup,"Skovlundvej 12, 8541 Skødstrup",Nhà máy chế biến,
DII Bakketoppen,"Bjørnshøjvej 1C, 8380 Trige",Nhà máy chế biến,
"Ældrecenter, Sydvestvej, modtagerkøkken","Sydvestvej 10, 2600 Glostrup",Nhà máy chế biến,
"Fribo Holte, Centralkøkken - Cafe","Borgm.Schneiders Vej 38, 2840 Holte",Nhà máy chế biến,
"OK-Centret Dronning Anne Marie, Køkken","Solbjerg Have 7, 2000 Frederiksberg",Nhà máy chế biến,
"Polaris Center Herning, Café Bøg","Skovvænget 2 A, 7400 Herning",Nhà máy chế biến,
Gastronomiet ApS,"Smedeland 30, 2600 Glostrup",Nhà máy chế biến,
BF Engros ApS,"Roskildevej 25 B, st, 2620 Albertslund",Nhà máy chế biến,
Maria´s Deli,"Thrigesvej 27, 7430 Ikast",Nhà máy chế biến,
Hos Truberg,"Solstien 1, 3760 Gudhjem",Nhà máy chế biến,
"Daginstitution Torsted, Eventyrbakken","Østerhåbsalle 2, 8700 Horsens",Nhà máy chế biến,
Persano Group A/S,"Skaaremosevej 11-14, 3230 Græsted",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
Møllehusets produktionskøkken,"Edith Rodes Vej 11, 2200 København N",Nhà máy chế biến,
The Catering Kitchen,"Klampenborgvej 52, Klampenborg galopbane, 2930 Klampenborg",Nhà máy chế biến,
Familiekøkkenet,"Oust Møllevej 5, 8920 Randers NV",Nhà máy chế biến,
DDL's kantine hos AU Herning,"Birk Centerpark 15, Birk, 7400 Herning",Nhà máy chế biến,
Måltidsboxen 2022 A/S,"Asgårdsvej 5, 7200 Grindsted",Nhà máy chế biến,
Gate Gourmet,"Kystvejen 42, 2770 Kastrup",Nhà máy chế biến,
"FREDERIKSBJERG & LANGENÆS Sundheds- og Kulturcenter, Café Frederik","Ankersgade 21, 8000 Aarhus C",Nhà máy chế biến,
Den Selvejende Institution Hareskovbo,"Skovalleen 8, 2880 Bagsværd",Nhà máy chế biến,
Durlevs GourMæt,"Stensmosevej 15, 2620 Albertslund",Nhà máy chế biến,
"LÆSSØESGADES SKOLE, Centralkøkkenet Langenæsstien","Langenæsstien 8B, 8000 Aarhus C",Nhà máy chế biến,
Food Story ApS,"Norgesvej 49 B, 6100 Haderslev",Nhà máy chế biến,
Biomega Denmark A/S,"Willemoesvej 26, 9850 Hirtshals",Nhà máy chế biến,
Jægersprislejren,"Hovedgaden 71, 3630 Jægerspris",Nhà máy chế biến,
Madkastellet Kantiner ApS,"Kay Fiskers Plads 22, 2300 København S",Nhà máy chế biến,
Køkkenproduktion NOUH,"Servicebyen 95 13, 5260 Odense S",Nhà máy chế biến,
FORSORGSHJEMMET DALHOFFSMINDE,"Dalhoffsmindevej 3, 6100 Haderslev",Nhà máy chế biến,
CPH frokost,"Amager Landevej 119, 2770 Kastrup",Nhà máy chế biến,
FE Catering / Claudias,"Blegdamsvej 23, 2100 København Ø",Nhà máy chế biến,
CABAS Køkken Højvangen,"Højvangen 11, 3060 Espergærde",Nhà máy chế biến,
Markersen ApS,"Falkevej 3, 3400 Hillerød",Nhà máy chế biến,
MOS Madhus,"Grynderupvejen 2, 9610 Nørager",Nhà máy chế biến,
Hija de Sanchez Production Kitchen,"Hamborg Plads 7, Stuen, 2150 Nordhavn",Nhà máy chế biến,
Nordic Food Service,"Andkærvej 19, A, 7100 Vejle",Nhà máy chế biến,
"Dagtilbud, Børnebåndet, Dr. Alexandrines børnehave","Fuglesangs Alle 16, 8210 Aarhus V",Nhà máy chế biến,
"Hallernes Smørrebrød, Hovedkontor","Staldgade 34, 1699 København V",Nhà máy chế biến,
NEWREST DENMARK A/S,"A.P. Møllers Allé 65, 2791 Dragør",Nhà máy chế biến,
Dabba Kanteen,"Filmbyen 11A, st, 8000 Aarhus C",Nhà máy chế biến,
Sønderborg Catering,"Coriolisvej 1, 6400 Sønderborg",Nhà máy chế biến,
Børnehuset Børneliv,"Klokkervej 53, 8210 Aarhus V",Nhà máy chế biến,
Produktionskøkken Nakskov,"Helgenæsvej 10, 4900 Nakskov",Nhà máy chế biến,
Kantinen 3.sal,"Stamholmen 110, 3, 2650 Hvidovre",Nhà máy chế biến,
"TECHCOLLEGE, Kantinen Rørdalsvej (Skolehjemskantine)","Rørdalsvej 10, 9000 Aalborg",Nhà máy chế biến,
Børnehaven Tumlehøj,"Ågade 14, 7330 Brande",Nhà máy chế biến,
"Sundhedshuset Rehabilitering, Centralkøkken","Birkedalsvej 35A, 3000 Helsingør",Nhà máy chế biến,
Mad Glad ApS / Ricewood Kantine,"Skanderborgvej 277, 8260 Viby J",Nhà máy chế biến,
Madservice Stevns,"Præstemarken 76, 4652 Hårlev",Nhà máy chế biến,
"Montebello Plejehjem, Cafeteria","Gurrevej 92B, 3000 Helsingør",Nhà máy chế biến,
"Bornholms Hospital, Køkkenet","Ullasvej 25, 3700 Rønne",Nhà máy chế biến,
JN Catering ApS,"Logistikvej 25B, 5250 Odense SV",Nhà máy chế biến,
Frk-Laura - Foodproduction & Delikatesse,"Søndergade 19G, 8464 Galten",Nhà máy chế biến,
Skovstjernen Centralkøkken,"Tove Ditlevsens Vej 4, 8500 Grenaa",Nhà máy chế biến,
"Posthaven, Trænings center Posthavens Café","Posthaven 48, 8500 Grenaa",Nhà máy chế biến,
N C NIELSEN BALLING A/S,"Nørregade 66, 7860 Spøttrup",Nhà máy chế biến,
Specialenheden,"Sverigesvej 3, 9560 Hadsund",Nhà máy chế biến,
Bøgeskovhus,"Skovlundgårdsvej 51, 8260 Viby J",Nhà máy chế biến,
Madhosmads Produktion,"Helge Nielsens Alle 2, 8723 Løsning",Nhà máy chế biến,
Daginstitution Lund,"Silkeborgvej 145, 8700 Horsens",Nhà máy chế biến,
Lisbjergskolen - Kantine,"Jørgen Clevins Gade 31, 8200 Aarhus N",Nhà máy chế biến,
Sands Mad ApS,"Telefonvej 6, 2860 Søborg",Nhà máy chế biến,
EK CAFéEN ApS,"Hadsundvej 180 A, 9000 Aalborg",Nhà máy chế biến,
Trines-Kitchen,"Gl. Byvej 12, 5540 Ullerslev",Nhà máy chế biến,
Frokost Kompagniet ApS,"Værkstedsgården 13, st, 2620 Albertslund",Nhà máy chế biến,
Dagtilbud Bankager,"Østerhåbsalle 1, 8700 Horsens",Nhà máy chế biến,
Center for Rehabilitering og Akutpleje - Kirsebær,"Kirsebærhaven 20, 2500 Valby",Nhà máy chế biến,
La Brava Gastronomi ApS,"Sønderskovvej 14, 8362 Hørning",Nhà máy chế biến,
Molens Måltider,"Nordre Havnevej 4, 5700 Svendborg",Nhà máy chế biến,
DDL´s kantine hos Telehøjen,"Telehøjen 1, 5220 Odense SØ",Nhà máy chế biến,
Violskrænten Produktionskøkken,"Violskrænten 13, 8500 Grenaa",Nhà máy chế biến,
Essens&Co by Evenues,"Bernstorffsvej 20A, 2900 Hellerup",Nhà máy chế biến,
"Plejecenter Digterparken , Produktionskøkken","Tove Ditlevsen Vej 2, 8500 Grenaa",Nhà máy chế biến,
DELICATE A/S,"Greve Main 12, 2670 Greve",Nhà máy chế biến,
Samsø Køkken,"Sygehusvej 26, 8305 Samsø",Nhà máy chế biến,
Tranbjergskolen afdeling Grønløkke Alle,"Grønløkke Allé 9, 8310 Tranbjerg J",Nhà máy chế biến,
VD_Teglgårdsparken 102 v/ISS FACILITY SERVICES A/S,"Teglgårdsparken 102, 5500 Middelfart",Nhà máy chế biến,
Dabba Kanteen Skøjtehallen,"Gøteborg Allé, Christiansbjerg 9, 1, 8200 Aarhus N",Nhà máy chế biến,
Teddys kantine aps,"Ørnegårdsvej 16, 2820 Gentofte",Nhà máy chế biến,
Forsyningskøkkenet Skovvang,"Abildgade 9, 8200 Aarhus N",Nhà máy chế biến,
DD CPH ApS,"Københavns Lufthavn Syd, Kompasrosevej 6, 2791 Dragør",Nhà máy chế biến,
Mad-Symfonien ApS,"Viborgvej 13, 7500 Holstebro",Nhà máy chế biến,
Fællesskaberne Skb Pensionatet Skanderborg Øst,"Kildevej 14 K, 8660 Skanderborg",Nhà máy chế biến,
RønhaveSlagteren v/ Sune Hansen,"Hestehave 24, 6400 Sønderborg",Nhà máy chế biến,
1080 Frokost Kolding v. Jespers Torvekøkken,"Venusvej 42, 6000 Kolding",Nhà máy chế biến,
"Middelfart Nærhospital, Køkkenet","Østre Hougvej 55, 5500 Middelfart",Nhà máy chế biến,
"BistroNord A/S, Kantinen Port of Aalborg","Langerak 19, 9220 Aalborg Øst",Nhà máy chế biến,
Dabba KBH A/S,"Emdrupvej 26, 2100 København Ø",Nhà máy chế biến,
Stenbideren APS / Hjulspinderen,"Flyvepladsen 10, 6330 Padborg",Nhà máy chế biến,
Nicolas Cuisine,"Kongelundsvej 36, st, 2300 København S",Nhà máy chế biến,
Gastronomi Expressen,"Toftebakken 9B, 3460 Birkerød",Nhà máy chế biến,
SKAT_Parallelvej 11 v/ISS FACILITY SERVICES A/S,"Parallelvej 11, 9800 Hjørring",Nhà máy chế biến,
BO-INSTITUTIONEN BIRKEBAKKEN,"Hejredalsvej 144, 8220 Brabrand",Nhà máy chế biến,
BDK_Godsbanevej 2 v/ISS FACILITY SERVICES A/S,"Godsbanevej 2, 4100 Ringsted",Nhà máy chế biến,
Brøndby Stadion v/Jespers Torvekøkken ApS,"Brøndby Stadion 28, 2605 Brøndby",Nhà máy chế biến,
"SKAT_Sorsigvej 35, v/ISS FACILITY SERVICES A/S","Sorsigvej 35, 6760 Ribe",Nhà máy chế biến,
Centralkøkkenet Elme Allé,"Elme Alle 6, 8963 Auning",Nhà máy chế biến,
Farsøhthus Ældrecenter,"I P Farsøhts Alle 4, 8961 Allingåbro",Nhà máy chế biến,
"Strandcentret, Centralkøkkenet","Frydenhøj Alle 100, 2670 Greve",Nhà máy chế biến,
Plejecenter Solgården,"Aggersundvej 31, 9690 Fjerritslev",Nhà máy chế biến,
Kostområde Struer Kommune,"Anlægsvej 8, 7600 Struer",Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
Møllens Køkken Væddeløbsbanen,"Observatorievejen 2, 8000 Aarhus C",Nhà máy chế biến,
DDL produktionskøkken Hammel,"Industrivej 6A, 8450 Hammel",Nhà máy chế biến,
KJØ ApS,"Vestergade 3, 6430 Nordborg",Nhà máy chế biến,
Madværk ApS,"Erhvervsvej 17, 2, 2600 Glostrup",Nhà máy chế biến,
"Center for Rehabilitering og Forebyggelse, Hovedkøkken","Schioldannsvej 31, 2920 Charlottenlund",Nhà máy chế biến,
noon,"Sundkaj 125, 2150 Nordhavn",Nhà máy chế biến,
"Sundbusserne af 2010 A/S, Sundbussernes Køkken","Statshavnen Færgevej 24, 3000 Helsingør",Nhà máy chế biến,
Dagtilbud 5131 - Åbyhøj afd. Børnehuset Klokkervej,"Klokkervej 38, 8210 Aarhus V",Nhà máy chế biến,
Mums!,"Alstrup Alle 4, 8361 Hasselager",Nhà máy chế biến,
Flex Kitchen ApS,"Topstykket 25, 3460 Birkerød",Nhà máy chế biến,
Madplan Aps,"Skejby Nordlandsvej 311, 8200 Aarhus N",Nhà máy chế biến,
Center for Døve,"Egebækvej 159, 2850 Nærum",Nhà máy chế biến,
Gastromani 2 ApS,"Ørestads Boulevard 73, 2300 København S",Nhà máy chế biến,
Fourfeldt Børnehus,"Norddalsparken 34, 6710 Esbjerg V",Nhà máy chế biến,
By Kavsman Group,"Stamholmen 140A, 2650 Hvidovre",Nhà máy chế biến; Kho lạnh bảo quản,
Sæsonens Madleverandør ApS,"Gummersmarkvej 7, 4632 Bjæverskov",Nhà máy chế biến,
Lemvig Centralkøkken,"Nygade 14, 7620 Lemvig",Nhà máy chế biến,
Dagtilbud Jerne-Spangsbjerg - Afd. Bydelens Børnehus,"Stengårdsvej 313, 6705 Esbjerg Ø",Nhà máy chế biến,
"Aars Rådhus, Vesthimmerlands kommune","Vestre Boulevard 7, 9600 Aars",Nhà máy chế biến,
AAU Niels Bohrs Vej Esbjerg /Jespers torvekøkken,"Niels Bohrs Vej 8, 6700 Esbjerg",Nhà máy chế biến,
Præstø Multicenter,"Rosagervej 37, 4720 Præstø",Nhà máy chế biến,
"Compass Group DK A/S 669410, Produktionskøkken","Avedøreholmen 96, 2650 Hvidovre",Nhà máy chế biến,
"Compass Group DK A/S 669411 , FOOD & CO - Frokost køkken","Avedøreholmen 96, 2650 Hvidovre",Nhà máy chế biến,
Banh Mi Bandits Køkken Sintrupvej,"Sintrupvej 71D, 8220 Brabrand",Nhà máy chế biến,
Carbis Convenience World ApS,"Kløvervej 71, 6100 Haderslev",Nhà máy chế biến,
"Messecenter Herning, Hovedkøkkenet","Vardevej 1, 1, 7400 Herning",Nhà máy chế biến,
Jyske Bank Boxen,"Kaj Zartows Vej 7, 7400 Herning",Nhà máy chế biến,
Loop kantiner,"Bregnerødvej 124, 3460 Birkerød",Nhà máy chế biến,
"Johannesgården, Centralkøkken","Fuglsang Allé 103, 2700 Brønshøj",Nhà máy chế biến,
"Hospitalsbyen, servicehuset, Produktionskøkken","Hospitalsbyen 22, 9260 Gistrup",Nhà máy chế biến,
DSV Horsens v/ISS FACILITY SERVICES A/S,"Mossvej 29, 8700 Horsens",Nhà máy chế biến,
Simply Pure,"Bådehavnsgade 48, 2450 København SV",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
"Jobigen Viborg, Kantine","Nørremarksvej 17, 8800 Viborg",Nhà máy chế biến,
Børnehuset Molevitten,"Mallinggårdsvej 4, 8340 Malling",Nhà máy chế biến,
Deli Deluxe v/Poul Bilde Nielsen,"Eskebæk Plads 6, 8660 Skanderborg",Nhà máy chế biến,
Bofællesskabet Inge Marie,"Skansen 1, 4100 Ringsted",Nhà máy chế biến,
Fuli ApS,"Gummersmarkvej 7A, 4632 Bjæverskov",Nhà máy chế biến,
Aabenraa Slagteren ApS,"Søndergade 9B, 6200 Aabenraa",Nhà máy chế biến,
Frederiks Frokost,"Islevbrovej 54D, 2610 Rødovre",Nhà máy chế biến,
Gastro 13 ApS,"Ågade 32, 7442 Engesvang",Nhà máy chế biến,
"Forenede Care A/S, Langagergård Plejecenter, Køkken","Karlslunde Parkvej 33, st., 2690 Karlslunde",Nhà máy chế biến,
CHEF - MAD TIL DØREN ApS,"Krakasvej 17, 3400 Hillerød",Nhà máy chế biến,
"FGU Østjylland, Ryomgård","Vestergade 67, 8550 Ryomgård",Nhà máy chế biến,
Hoppes Cafe & Bar,"Læderstræde 11A, 1201 København K",Nhà máy chế biến,
Samosa Factory ApS,"Farverland 4D, 2600 Glostrup",Nhà máy chế biến,
"Produktionskøkken, Pendanten","Strandgade 25B, 1401 København K",Nhà máy chế biến,
FoodByRD,"Danmarksvej 11, 9670 Løgstør",Nhà máy chế biến,
Euro Kitch,"Frydenborgvej 27D, 1 1, 3400 Hillerød",Nhà máy chế biến,
Vejle Kommune's Kantine,"Skolegade 1, 7100 Vejle",Nhà máy chế biến,
Kaffe Fair,"Fyrkildevej 7, 9220 Aalborg Øst",Nhà máy chế biến,
Erlund & Andersen ApS,"Kongelundsvej 36, st, 2300 København S",Nhà máy chế biến,
Samosa ApS,"H.J. Holst Vej 6, 2610 Rødovre",Nhà máy chế biến,
Pops Pizza 2 ApS,"Rosenkæret 15B, 2860 Søborg",Nhà máy chế biến,
"Møllevangsskolen, kantine","Møllevangs Alle 20, 8210 Aarhus V",Nhà máy chế biến,
Borbjerg-Hvam Kultur & Fritidscenter,"Hvamvej 84, Borbjerg, 7500 Holstebro",Nhà máy chế biến,
Wedo Centralkøkken,"Halmtorvet 21, 1700 København V",Nhà máy chế biến,
Plejehjemmet Fasanlunden,"Stæhr Johansens Vej 50, 2000 Frederiksberg",Nhà máy chế biến,
"CFD Døves Vaskeri sociale tilbud, Kantine","Generatorvej 2 S, 2860 Søborg",Nhà máy chế biến,
Frokostordningen i dagtilbud,"Egehegnet 16, 2850 Nærum",Nhà máy chế biến,
SPISPÆNT - FOOD BY BRAAE ApS,"Granhøjvej 8, 8600 Silkeborg",Nhà máy chế biến,
Ambrosa Honest Food ApS,"Boesvej 13, 8660 Skanderborg",Nhà máy chế biến,
Simply Cooking - Kantinen,"Bernstorffsgade 21, kl, 1577 København V",Nhà máy chế biến,
Langagerskolen/køkkenet,"Bøgeskov Høvej 10, 8260 Viby J",Nhà máy chế biến,
Centralkøkken - Thisted,"Nørrealle 53, 7700 Thisted",Nhà máy chế biến,
Caféen Romalt Aktivitetshal,"Romalt Boulevard 28, 8960 Randers SØ",Nhà máy chế biến,
Autismetilbuddet Holding ApS,"Houmannsvej 3, 4690 Haslev",Nhà máy chế biến,
AVK International A/S Kantine,"Smedeskovvej 40, 8464 Galten",Nhà máy chế biến,
Børnehuset Ravnsborg,"Ravnsborgvej 3B, 4600 Køge",Nhà máy chế biến,
CPH Kitchen,"Raffinaderivej 8, 2300 København S",Nhà máy chế biến,
Fra Jorden ApS,"Stationsparken 37, 2600 Glostrup",Nhà máy chế biến,
"Sandholmlejren, Bygning II, Køkken","Sandholmgårdsvej 40, 3450 Allerød",Nhà máy chế biến,
The Food Company ApS,"Ny Banegårdsgade 48, 8000 Aarhus C",Nhà máy chế biến,
"Fujifilm DBD ApS v/Kokkenes Køkken, Ekstern køkken","Vølundsvej 2, 3400 Hillerød",Nhà máy chế biến,
Mums Catering,"Vangedevej 142C, 2870 Dyssegård",Nhà máy chế biến,
DDL Produktionskøkken Kolding,"Gejlhavegård 15, 6000 Kolding",Nhà máy chế biến,
Simply Cooking - Bjerregårdsvej,"Bjerregårdsvej 16, 2500 Valby",Nhà máy chế biến,
Børnehuset Buldervang,"Klostervænget 1, 4400 Kalundborg",Nhà máy chế biến,
Tjørneparkens Køkken,"Tjørneparken 1, 4572 Nørre Asmindrup",Nhà máy chế biến,
EgeBech ApS,"Stadion Alle 5, st 9, 8800 Viborg",Nhà máy chế biến,
"Pressalit A/S, kantine","Isagervej 30, 8680 Ry",Nhà máy chế biến,
Comé Central Kitchen,"Refshalevej 163A, st. mf., 1432 København K",Nhà máy chế biến,
Børnehuset Dalby-Vonsild,"Ved Padholm 2, 6000 Kolding",Nhà máy chế biến,
"3103 Holbæk Kommune Hovedkøkken, v/Jespers Torvekøkken","Jernbanevej 6, 4300 Holbæk",Nhà máy chế biến,
Kokkens Madpakke ApS,"Frederikssundsvej 343, 2700 Brønshøj",Nhà máy chế biến,
"LYKKEGARD, Hovedkøkken","Hovedgaden 2, 4420 Regstrup",Nhà máy chế biến,
Fipros A/S,"Rybergsvej 1, 5631 Ebberup",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Statsfængslet ved Sønder Omme,"Holdgårdsvej 142, 7260 Sønder Omme",Nhà máy chế biến,
Johs Jensen Fiske- og Muslingeexport A/S,"Havnegade 20, 7790 Thyholm",Trung tâm điều phối / xuất hàng; Trung tâm làm sạch / tinh chế (thường cho nhuyễn thể); Nhà máy chế biến sản phẩm thủy sản tươi sống,
Vilsund Blue A/S,"Øroddevej 100, 7900 Nykøbing M",Trung tâm điều phối / xuất hàng; Nhà máy chế biến,
Glyngøre Shellfish ApS,"Kassehusvej 5, 7870 Roslev",Trung tâm điều phối / xuất hàng; Trung tâm làm sạch / tinh chế (thường cho nhuyễn thể),
Venøsund Fisk og Skaldyr,"Sønderskovvej 20, Venø, 7600 Struer",Trung tâm điều phối / xuất hàng; Trung tâm làm sạch / tinh chế (thường cho nhuyễn thể); Nhà máy chế biến sản phẩm thủy sản tươi sống,
"AKTIESELSKABET POSEIDON MUSLINGER, OG REJER","Havnepladsen 4, 6792 Rømø",Nhà máy chế biến,
NORDIC SEAFOOD A/S,"Søren Nordbysvej 15, 9850 Hirtshals",Nhà máy chế biến sản phẩm thủy sản tươi sống; Cơ sở bọc màng và tái đóng gói,
FISHERMENS FACTORY A/S,"Industrivangen 2 B, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Snaptun A/S,"Snaptunvej 59A, 7130 Juelsminde",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến; Kho lạnh bảo quản,
"M/TR ""Ocean Tiger"", V/Partsrederiet Ocean Tiger ""R38""","Strandgade 10, 3730 Nexø",Tàu chế biến thủy sản (tàu đánh bắt kiêm nhà máy),
J G Coldstores ApS,"Elmedalsvej 5, 4200 Slagelse",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản; Cơ sở tách thịt thủy sản bằng cơ học,
AMANDA SEAFOODS A/S,"Constantiavej 29, 9900 Frederikshavn",Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
ARNE JØRGENSEN & SØN A/S,"Hyttefadsvej 14, 9970 Strandby",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
TELL FISK APS,"Hyttefadsvej 11, 9970 Strandby",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Hansa Fisk,"Læssevejen 6, 6700 Esbjerg",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Kaptajn Seafood A/S,"Hyttefadsvej 3, 9970 Strandby",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Scanfish Danmark A/S,"Industrihøjen 5, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
WORLDWIDE SEAFOOD HANSTHOLM ApS,"Kai Lindbergs Gade 24, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
FISKEHALLEN TVILLING A/S,"Kattegatvej 63, 2150 Nordhavn",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến; Cơ sở bọc màng và tái đóng gói,
KNUD THOMSEN FISKEEKSPORT A/S,"Hyttefadsvej 6, 9970 Strandby",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Mondo Mar Marine Foods Aps,"Kai Lindbergs Gade 38 , 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống; Cơ sở tách thịt thủy sản bằng cơ học,
Nordic Fish A/S,"Læssevejen 10, 6700 Esbjerg",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Musholm A/S,"Strandvejen 101, 4281 Gørlev",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
Insula Fersk Fisk A/S,"Tungevej 2 - 4, 6960 Hvide Sande",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến; Cơ sở tách thịt thủy sản bằng cơ học,
REINHOLDT & CO FISKEEKSPORT A/S,"Knudbyvej 16, 8831 Løgstrup",Nhà máy chế biến,
ROYAL FISH DENMARK A/S,"Chr. Schrøders Gade 40 & Kai lindbergs Gade 39 -, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
ÅRHUS FISKEEKSPORT APS,"Pakkerivej 12, 8000 Aarhus C",Nhà máy chế biến sản phẩm thủy sản tươi sống; Cơ sở bọc màng và tái đóng gói,
Chrisfish Hanstholm Aps,"Auktionsgade 15, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
KEKA FISK APS,"Søren Nordbysvej 13, 9850 Hirtshals",Nhà máy chế biến sản phẩm thủy sản tươi sống,
"Hundested Fiskeexport A/S, O.V. Jørgensen","Færgevejen 2, 3390 Hundested",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến; Kho lạnh bảo quản,
ERLING GRØNKJÆR FISKEEKSPORT A/S,"Fibigers Gade 8, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
HANSTHOLM SAMLECENTRAL A/S,"Auktionsgade 30, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Fiskernes Samlecentral Strandby ApS,"Auktionskaj 7, 1 tv, 9970 Strandby",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Fonfisk Hanstholm A/S,"Hamborgvej 16, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Edgar Madsen Fiskeeksport & Filetfabrik A/S,"Metheasvej 10, 6960 Hvide Sande",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Vejlgaard,"Rødspættevej 1, 6960 Hvide Sande",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
"DANSKE FISKEAUKTIONER A/S, Hvide Sande","Auktionsgade 2, 6960 Hvide Sande",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Fiskernes Fiskesortering Amba,"Norgeskajen 12, 9850 Hirtshals",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
"Danske Fiskeauktioner A/S, Thorsminde","Vesthavnen 7, Thorsminde, 6990 Ulfborg",Nhà máy chế biến sản phẩm thủy sản tươi sống,
"Danske Fiskeauktioner A/S, Thyborøn","Havnegade 15, 7680 Thyborøn",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Polar Salmon Hjerting Laks A/S,"H E Bluhmes Vej 18, 6700 Esbjerg",Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
Brdr. Dethlefsen,"Søndre Kajgade 29, 8500 Grenaa",Nhà máy chế biến sản phẩm thủy sản tươi sống,
TBA Holding af 1982 ApS,"Snaptunvej 57 B, 7130 Juelsminde",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Fonden Sletten Havn - Kølerum,"Sletten Havn 1, 3050 Humlebæk",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Vedbæk Fiskeriforening,"Vedbæk Strandvej 356B, 2950 Vedbæk",Nhà máy chế biến sản phẩm thủy sản tươi sống,
Fiskernes Fællessalg ApS,"Gennem Landet 92, 8592 Anholt",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
THORUPSTRAND FISKERI- OG OPHALINGSSPIL A.M.B.A.,"Thorup Strandvej 329, 9690 Fjerritslev",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
THORKILD GRØNS SAMLECENTRAL,"Auktionsgade 23, 7730 Hanstholm",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Lerøy Seafood Copenhagen ApS,"Kattegatvej 57+67, 2150 Nordhavn",Nhà máy chế biến sản phẩm thủy sản tươi sống; Cơ sở bọc màng và tái đóng gói,
Carl Lauridsen ApS,"Gl. Landevej 37, 6893 Hemmet",Nhà máy chế biến sản phẩm thủy sản tươi sống; Kho lạnh bảo quản,
Grenaa Sorteringscentral,"Søndre Kajgade 13, 8500 Grenaa",Nhà máy chế biến sản phẩm thủy sản tươi sống,
