name,town,category,discontinued
Constellation Cold Logistics Denmark A/S - Vamdrup,"Østermarksvej 2, 6580 Vamdrup",Kho lạnh bảo quản,
RDI køl Avedøre,"Kanalholmen 25, 2650 Hvidovre",Kho lạnh bảo quản,
Kryta A/S,"Navervej 30-32, 4000 Roskilde",Cơ sở bọc màng và tái đóng gói,
Aarstiderne Engros A/S,"Lundagervej 1, 8722 Hedensted",Kho lạnh bảo quản,
Smyril Line Cargo Danmark ApS,"Erik Sondrups Vej 10, 9850 Hirtshals",Kho lạnh bảo quản,
Basic Food ApS,"Ådalen 3, 4600 Køge",Kho lạnh bảo quản,
"OLE LARSEN TRANSPORT A/S, Lager","Dalgårdsvej 7, 8220 Brabrand",Kho lạnh bảo quản,
Grøn Fokus Frostlager,"Sorøvej 84, 4200 Slagelse",Kho lạnh bảo quản,
JANAX A/S,"Priorparken 849, 2605 Brøndby",Kho lạnh bảo quản,
"Samsø Catering, Samsø Transport","Marsk Stigs Vej 20 B, 8305 Samsø",Kho lạnh bảo quản,
Sardegna Import,"Meterbuen 6, 7, 2740 Skovlunde",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"Them Mejeri A/S, Ostelager","Industrivej 4N, 8653 Them",Kho lạnh bảo quản,
FOOD WITH YOU ApS,"Frostvej 14, 7100 Vejle",Kho lạnh bảo quản,
Larsen Fine Food ApS,"Ægirsvej 15, 3400 Hillerød",Cơ sở bọc màng và tái đóng gói,
HAVI LOGISTICS,"Vejleåvej 11A-B, 2635 Ishøj",Kho lạnh bảo quản,
SVEND E. SØRENSEN SPEDITION A/S,"Ravnhavevej 1, 6070 Christiansfeld",Kho lạnh bảo quản,
MAMMA PRODUCTION A/S,"Bygmarken 25, 3520 Farum",Kho lạnh bảo quản,
BÄKO ApS,"Visherredsvej 12, 6330 Padborg",Kho lạnh bảo quản,
Condi ApS,"Roskildevej 30, 2620 Albertslund",Cơ sở bọc màng và tái đóng gói,
