stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
1,A. MEŠKAUSKO IĮ SKERDYKLA,53-03,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"Kauno g. 32B, Kėdainiai",Kėdainiai,LT-57244,Kaunas County,Lithuania,2022-01-07
2,A. Ramanausko individuali įmonė gyvulių skerdykla,LT 66-19 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Rabikių g., Rabikių k., Panevėžio r.",Rabikiai,LT-38301,Panevezys County,Lithuania,2025-04-24
3,A.Mišeikio įmonė,32-03,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Smiltinė 20, Akmenės sen., Akmenės r. sav., Šiaulių apskr.",Smiltinė,LT-85365,Siauliai County,Lithuania,2021-03-15
4,"AB ""Išlaužo žuvis""",LT-69-01 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Šaltupio g. 31, Šaltupis, Prienų r.",Šaltupis,LT-59302,Kaunas County,Lithuania,2021-03-17
5,"AB ""Limarko Laivininkystės Kompanija"" Transportinis Refrižeratorius ""CASSIOPEA""",LT 21-16 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
6,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""AURIGA""",LT21-34EB,1,FFP (Fishery products - EU),RV - Reefer Vessel,"Naujoji Uosto g. 8,LT-92125 Klaipėda,  Lietuva",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-05-21
7,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""CAPELLA""",LT 21-19 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
8,"AB ""Limarko Laivininkystės Kompanija"" transportinis refrižeratorius ""LIBRA""",LT 21-13 EB,1,FFP (Fishery products - EU),RV - Reefer Vessel; ZV - Freezer Vessel,"Naujoji Uosto g. 8, LT-92125 Klaipėda",Klaipėda,LT-92125,Klaipeda County,Lithuania,2021-03-16
9,"AB ""Rokiškio sūris""",39-106 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,"Geležinkelio g. 24,  Pilviškių k., Pilviškių sen., Vilkaviškio r. sav.",Pilviškiai,LT-70482,Marijampole County,Lithuania,2021-03-12
10,AB KELMĖS PIENINĖ,77 - 07P; r LT ŽT 287590,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Gaurės g. 23, Tauragė",Tauragė,LT-72340,Taurage County,Lithuania,2025-02-20
11,AB KLAIPĖDOS PIENAS,LT 21-01 P EB; 520001956,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | WM - Wholesale Market,Šilutės pl. 33,Klaipėda,LT-91107,Klaipeda County,Lithuania,2021-03-18
12,AB Kaišiadorių paukštynas,LT49-01EB,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | PM (Meat from poultry and lagomorphs) | RPM (Meat products)",MM - Minced Meat Plant; MSM - Mechanically Separated Meat Plant; MP - Meat Preparation Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Kaišiadorys, Paukštininkų g. 15",Kaišiadorys,LT-56110,Kaunas County,Lithuania,2021-03-18
13,AB Kiaulių veislininkystė,303212036,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Jadvimpolio k., Baisogalos sen., Radviliškio r.",Jadvimpolio k.,LT-82329,Siauliai County,Lithuania,2021-03-18
14,AB MODEST,LT 77-01 PEB; 77-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"TAURAGĖ, GAURĖS G.23",Tauragė,LT-72340,Taurage County,Lithuania,2026-06-21
15,AB PREMIA KPC,190009265,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
16,AB Pieno Žvaigždės Fil. Mažeikių Pieninė,61-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Skuodo g. 4, Mažeikiai, Mažeikių r. sav.",Mažeikiai,LT-89100,Telsiai County,Lithuania,2022-03-31
17,AB Pieno žvaigždės,LT 01-25 EB,1,GEN (General activity establishment - EU),CS - Cold Stores; RW - Re-wrapping Establishment,Justiniškių g. 134,Vilnius,05111,Vilnius County,Lithuania,2021-03-25
18,AB Pieno žvaigždės filialas Kauno pienas,19-01 P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Taikos pr. 90,Kaunas,LT-51181,Kaunas County,Lithuania,2021-03-15
19,AB Pieno žvaigždės filialas Panevėžio pienas,LT 27-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Tinklų g. 9,Panevežys,35115,Panevezys County,Lithuania,2021-03-04
20,AB Pieno žvaigždės filialas Pasvalio sūrinė,LT67-01P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Mūšos g. 14,Pasvalys,LT-39104,Panevezys County,Lithuania,2021-03-15
21,AB Rokiškio sūris,LT73-01P,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,Pramones g. 3,Rokiškis,LT-42150,Panevezys County,Lithuania,2024-05-08
22,AB VILKYŠKIŲ PIENINĖ,88-03 P; LT 88-03 P EB; 77-04,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores,"Tauragės apskr., Pagėgių sav., Vilkyškių sen., Vilkyškiai, Prano Lukošaičio g. 14",Vilkyškiai,LT-99290,Taurage County,Lithuania,2023-12-12
23,"AB VILKYŠKIŲ PIENINĖ , On behalf of LACTRADE IURII RUDENKO  Podbipiety str.31/49, Poland",88 - 03P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"P. Lukošaičio g. 14, Vilkyškių mstl. Pagėgių sav.",Vilkyškiai,LT-99290,Taurage County,Lithuania,2023-01-19
24,AB Vilniaus paukštynas,LT 41-28 EU,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | PM (Meat from poultry and lagomorphs) | RPM (Meat products)",MSM - Mechanically Separated Meat Plant; MM - Minced Meat Plant; MP - Meat Preparation Plant | CS - Cold Stores | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,Gamyklos g. 27,Rudamina,LT-13249,Vilnius County,Lithuania,2025-06-12
25,AB Žemaitijos pienas,190011025; 19-23,1,GEN (General activity establishment - EU),WM - Wholesale Market | CS - Cold Stores; WM - Wholesale Market,"Taikos pr. 106A, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
26,AB Žemaitijos pienas Kauno filialas,190011803,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 38, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
27,AB-F Šilutės Rambynas,LT-88-01P EB,2,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | GEN (General activity establishment - EU)",PP - Processing Plant | CS - Cold Stores; RW - Re-wrapping Establishment,"Klaipėdos g. 3, LT-99115 Šilutė",Šilutė,,Klaipeda County,Lithuania,2021-03-17
28,"ANA EU, UAB",LT 33-07,1,RPM (Meat products),PP - Processing Plant,"Centrinė g. 30, Kančėnų k., Daugų sen., Alytaus r. sav., Alytaus apskr.",Kančėnai,LT-64133,Alytus County,Lithuania,2024-06-19
29,Agnė Blechertienė,LT 18-14,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Fazanų g. 6, Gustabūdžio k., Šunskų k., Marijampolės sav.",Gustabūdis,LT-69360,Marijampole County,Lithuania,2021-03-14
30,Albertas Davidavičius,LT 42-010 Ž,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,"Elektrėnų sav., Vievio sen., Zabakos k.",Zabaka,LT-21381,Vilnius County,Lithuania,2021-03-22
31,Aleksandro Pupkevčiaus indviduali veikla,86-05,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Postavų g. 82, Adutiškis, Adutiškio sen., Švenčionių r. sav.",Adutiškis,LT-18290,Vilnius County,Lithuania,2021-03-19
32,Algis Bukauskas,LT 81-007,1,RPM (Meat products),PP - Processing Plant,Alionys,Alionys,,Vilnius County,Lithuania,2022-01-11
33,Artūras Padimanskas,LT 39-07,2,RM (Meat of domestic ungulates) | RPM (Meat products),SH - Slaughterhouse | PP - Processing Plant,"V. Pietario g. 1, Bebrininkų k., Pilviškių sen., Vilkaviškio r. sav.",Bebrininkai,LT-70301,Marijampole County,Lithuania,2021-03-09
34,Arūno Petriko IĮ,LT 78-06 EB,1,RPM (Meat products),PP - Processing Plant,"Purpių k.5E, Ryškėnų sen., Telšių r. sav.",Purplių k.,LT-87150,Telsiai County,Lithuania,2021-03-19
35,Arūno Raulinavičiaus PĮ,LT 41-012 Ž,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,Vanaginės k.,Vanaginė,,Vilnius County,Lithuania,2021-03-26
36,Arūno Ševelio ūkis,46-08,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kauno apskr. Jonavos r. sav., Bukonių sen., Narauninkiškių k. 14",Narauninkiškiai,LT-55431,Kaunas County,Lithuania,2021-03-18
37,Audrius Tunaitis,58-024,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Maironio g. 11A, Kazlų Rūda",Kazlu Ruda,69440,Marijampole County,Lithuania,2021-03-14
38,"BALTIC CASTINGS, UAB",LT 11-03,1,"CAS (Treated stomachs, bladders and intestines: casings only)",PP - Processing Plant,Pramonės g. 31,Alytus,LT-62175,Alytus County,Lithuania,2021-03-18
39,"BIOVELA-UTENOS MĖSA, UAB",LT 17 EB,7,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | WM (Wild game meat) | GEN (General activity establishment - EU) | CAS (Treated stomachs, bladders and intestines: casings only) | RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | CS - Cold Stores | PP - Processing Plant | SH - Slaughterhouse; CP - Cutting Plant,Pramonės g. 4,Utena,28216,Utena County,Lithuania,2025-01-24
40,Baltic Air Logistics Terminal,LT 01-01,1,GEN (General activity establishment - EU),CS - Cold Stores,Rodunios kel. 18,Vilnius,LT-02188,Vilnius County,Lithuania,2021-03-25
41,"Baltic Champs, UAB",LT 89-04,1,GEN (General activity establishment - EU),CS - Cold Stores,"Zosinos g. 5, Širvintos",Širvintos,LT-19117,Vilnius County,Lithuania,2021-12-17
42,Birutės Revuckienės IĮ,Lt-12-04,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,Birštono sav.LT-59451,Nemajūnai,,Kaunas County,Lithuania,2021-03-17
43,CAPELLA“ Reefer Vessel RV,21-19,1,FFP (Fishery products - EU),ZV - Freezer Vessel,CAPELLA“ Reefer vessel RV,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
44,Dainoros Račkauskienės ind. įmonė,61-17,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Bažnyčios g. 17, Mažeikiai, Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89232,Telsiai County,Lithuania,2021-03-15
45,Danutė Muraškaitė,48-026,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Laisvės g. 20, Kalvarija",Kalvarija,LT-69214,Marijampole County,Lithuania,2021-03-14
46,Deimantė Krivickaitė,53-14,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Norkūnų k.,Krakių s.,Kėdainių r.",Norkūnai,,Kaunas County,Lithuania,2022-01-10
47,Donato Vaicikausko IĮ Mėsininkas,68-14,1,RPM (Meat products),PP - Processing Plant,"Minijos g. 31C, Juodeikių k., Plungės r. sav.",Juodeikiai,LT-90373,Telsiai County,Lithuania,2021-03-23
48,EMIRONAS UAB,130018865,1,GEN (General activity establishment - EU),WM - Wholesale Market,"V. A. Graičiūno g. 24A, LT-02241 Vilnius",Vilnius,LT-02241,Vilnius County,Lithuania,2026-01-16
49,EUROCRICKETS UAB,LT38-06,1,GEN (General activity establishment - EU),WM - Wholesale Market,Merkio str. 87,Dargužiai,LT-65444,Alytus County,Lithuania,2024-10-15
50,Edgaras Ivanauskas,190009585,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Pelėdų takas 11, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
51,Edmundas Valatka,Lt-12-03 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Gryšios g. 10, Nečiūnai, Birštono sav. LT-59452",Nečiūnai,LT-59218,Kaunas County,Lithuania,2021-03-17
52,Edvardas Gelažius,LT 84-05,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Kerų k., Lukšių sen., Šakių r. sav.",Liepalotai,LT-69047,Marijampole County,Lithuania,2021-03-14
53,Espersen Lietuva UAB,LT 21-15 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Pramonės g. 15, LT-94102 Klaipėda",Klaipėda,LT-94102,Klaipeda County,Lithuania,2021-03-12
54,F. Šlėvės šaltieji sandeliai,9383611,1,GEN (General activity establishment - EU),CS - Cold Stores,"Plento g. 7, Velžių k., Radviliškio rajonas",Velžių k.,LT-82218,Siauliai County,Lithuania,2021-03-18
55,"FMCG prekyba, UAB",190010508; 520001933,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Taikos pr. 94, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-18
56,"Ferogama, UAB",LT 01-14,1,GEN (General activity establishment - EU),CS - Cold Stores,Agrastų g. 2,Vilnius,LT-02243,Vilnius County,Lithuania,2021-03-25
57,Ferroc UAB,530001547,1,RPM (Meat products),PP - Processing Plant,"Vandenvietės g. 9, LT-57242 Kėdainiai",Kėdainiai,LT-57242,Kaunas County,Lithuania,2024-09-24
58,"Fish Processing Net, UAB",79-09,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),WM - Wholesale Market; FFPP - Fresh Fishery Products Plant | RW - Re-wrapping Establishment,"Tarpupio g. 29, Mamavio k., Trakų r. sav.",Mamavys,LT-21169,Vilnius County,Lithuania,2025-10-14
59,G. Drakšo IĮ,LT 79-03,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Žiedo g. 30,Vaickūniškės,LT-21242,Vilnius County,Lithuania,2021-03-26
60,"G. Kanaševičiaus PĮ ,,Desė""",LT49-08EB,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | RW - Re-wrapping Establishment,"Naujažerio g. 2A, Žaslių mstl., Žaslių sen., Kaišiadorių r. sav.",Naujažeris,LT-56413,Kaunas County,Lithuania,2021-03-18
61,G. Šlinsko individuali įmonė,LT75-04EB,1,GM (Meat of farmed game),SH - Slaughterhouse,"Vingio g. 5, Gėsalų k., Aleksandrijos sen., Skuodo r. sav.",Aleksandrija,LT-98333,Klaipeda County,Lithuania,2021-04-15
62,GINTARO BIČKAUS ĮMONĖ RENGMĖ,LT29-15; LT 01-36 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"KUPIŠKIO G.7, Šiauliai",Šiauliai,LT-76146,Siauliai County,Lithuania,2021-03-25
63,"GL ""JŪROS VILKAS"" FV",21-32,1,FFP (Fishery products - EU),FV - Factory Vessel,Ukmergės g. 14,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
64,"GL ""KARALIUS"" FV",21-31,1,FFP (Fishery products - EU),FV - Factory Vessel,Ukmergės g. 14,Klaipėda,LT-92121,Klaipeda County,Lithuania,2020-01-15
65,Gelena Brokartienė,LT 79-007 Ž,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,Vilniaus mažoji g. 2B,Trakai,LT-21117,Vilnius County,Lithuania,2021-03-26
66,"Groward group, UAB",520001871; 190011857; 520001872,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
67,Halina Levandovskaja,41-020 M,1,PM (Meat from poultry and lagomorphs),SH - Slaughterhouse,Upelio g. 1,Gineitiškės,LT-14166,Vilnius County,Lithuania,2021-03-16
68,"IKI LOGISTIKOS CENTRAS ,UAB PALINK",LT66-03 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,"VAISVILČIŲ II K., UPYTĖS SEN.,,PANEVĖŽIO R. SAV., LT-38292",Panevėžys,LT-35001,Panevezys County,Lithuania,2021-03-17
69,Ingrida Kirvaitienė,LT 39-05,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"M. Valančiaus g. 73, Vilkaviškis",Vilkaviškis,LT-70132,Marijampole County,Lithuania,2021-03-09
70,IĮ Grenesta,LT 41-17,1,RPM (Meat products),PP - Processing Plant,Daškūnų g. 15,Skaidiškės,LT-13268,Vilnius County,Lithuania,2021-06-22
71,IĮ Linolis,LT 54-04,1,RPM (Meat products),PP - Processing Plant,"Šilo Pavėžupio g.16, Laikšių k., Šaukėnų sen., Kelmės r. sav. LT-86422",Kelmė,LT-86137,Siauliai County,Lithuania,2021-03-19
72,IĮ Sigmega,LT 78-04 EB,1,RPM (Meat products),PP - Processing Plant,"Mokyklos g. 2, LT -88202, Kaunatava, Upynos sen., Telšių r. sav.",Kaunatava,LT-88202,Telsiai County,Lithuania,2021-03-19
73,Juozas Burbulevičius,LT--69-03 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Lelijų g. 4, Giniūnai, Prienų r.",Giniūnai,LT-59301,Kaunas County,Lithuania,2021-03-17
74,Juozo Žydelio IĮ,LT 39-02,1,PM (Meat from poultry and lagomorphs),CP - Cutting Plant,"Rimgaudo g. 26, Vilkaviškis",Vilkaviškis,LT-70138,Marijampole County,Lithuania,2021-03-09
75,KB Oxmeat,LT 41-02,2,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RPM (Meat products)",MP - Meat Preparation Plant | PP - Processing Plant,Švenčionių g. 114,Nemenčinė,LT-15168,Vilnius County,Lithuania,2021-03-25
76,Kooperatyvas  Gera mėsa,63-01,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant | CP - Cutting Plant | PP - Processing Plant,"Tauragės apskr., Pagėgių sav., Stoniškių sen., Šilgaliai, Vilkos g. 2",Šilgaliai,LT-99290,Taurage County,Lithuania,2021-03-17
77,Kristina Kučinskienė,LT 18-08,1,RM (Meat of domestic ungulates),SH - Slaughterhouse; CP - Cutting Plant,"Sasnos g. 5, Kantališkių k., Sasnavos  sen., Marijampolės sav.",Kantališkiai,LT-69481,Marijampole County,Lithuania,2021-03-12
78,L. Šemetulskio IĮ,LT 55-31 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Draugystės g. 13, Girkaliai, Klaipėdos r.",Girkaliai,LT-00100,Klaipeda County,Lithuania,2021-03-15
79,"LIT EGG, UAB",68-70,1,EEP (Eggs and egg products),EPC - Egg-packing Centre,"Vyturio g.2, Plungės r. sav.",Kaušėnai,LT-90143,Telsiai County,Lithuania,2021-03-22
80,"LT Medus, UAB",190006337,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno r., Biruliškių k., Terminalo g. 6",Biruliškės,LT-54469,Kaunas County,Lithuania,2022-09-29
81,Laima Rinkevičienė,LT 33-02,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Nemuno g. 56, Panemuninkų k., Alytaus sen., Alytaus r. sav.",Panemuninkai,LT-62185,Alytus County,Lithuania,2021-03-09
82,Laimučio Palionio firma,190011815,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Europos pr. 36, Kaunas",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
83,"Lavisos Lez terminalas, UAB",52-24,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,"Terminalo g. 6, Kauno raj.",Kaunas,LT-54469,Kaunas County,Lithuania,2022-09-07
84,Leono Kudirkos IĮ,LT 39-06,1,RPM (Meat products),PP - Processing Plant,"Nepriklausomybės g. 41, Kybartų k., Kybartų sen., Vilkaviškio r. sav.",Kybartai,LT-70424,Marijampole County,Lithuania,2021-03-09
85,Litcargus; UAB,LT 01-16 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,Rodūnios kelias 2,Vilnius,02189,Vilnius County,Lithuania,2021-12-03
86,"MAXIMA LT, UAB",01-22; 18-003; 19-42; 520001967; 190012170; 19-13; 19-17; LT 18-09; 19-16,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | MM - Minced Meat Plant | MP - Meat Preparation Plant; MM - Minced Meat Plant | WM - Wholesale Market | CP - Cutting Plant | PP - Processing Plant,Savanorių pr. 247,Vilnius,02300,Vilnius County,Lithuania,2021-03-19
87,"MB ""Gurmanas""",61-07,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Melioratorių g. 1C-1, Mažeikiai. Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89145,Telsiai County,Lithuania,2021-03-15
88,"MB ""Kiaulienos ūkis""",LT 18-17 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Patašinės g. 44, Patašinės k., Marijampolės sen., Marijampolės sav.",Patašinė,LT-69104,Marijampole County,Lithuania,2022-09-12
89,"MB ""Laigrida""",LT 39-21,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Gluosnių g. 1, Čyčkų k., Šeimenos sen., Vilkaviškio r. sav.",Vilkaviškis,LT-70138,Marijampole County,Lithuania,2021-03-14
90,"MB ""Mėsos klubas""",41-22,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Vilniaus r. sav., Sudervės sen., Buiniškių k., Adomo Mickevičiaus g. 253",Buiniškės,LT-14202,Vilnius County,Lithuania,2026-03-02
91,"MB ""Patented MT""",46-18,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Jonavos r. sav., Jonavos sen., Jonava, Girelės g. 1C",Jonava,LT-55111,Kaunas County,Lithuania,2026-02-23
92,"MB ""RADŪMA""",LT 56-04 EB,1,RPM (Meat products),PP - Processing Plant,"Metalo g. 7, Kluonalių k., LT-97193 Kretingos r.",Kluonaliai,LT-97133,Klaipeda County,Lithuania,2021-03-22
93,"MB ""Rojaus mėsytė""",LT52-37EB,1,RPM (Meat products),PP - Processing Plant,"Vandžiogalos pl.196, Eigirgalos k.  Domeikavos sen., Kauno r.",Eigirgalos k.,LT-54341,Kaunas County,Lithuania,2021-04-09
94,"MB ""Spirgius""",84-007V,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MM - Minced Meat Plant,"Kauno g. 1, Lekėčių k., Lekėčių sen., Šakių r. sav.",Lekėčiai,LT-71225,Marijampole County,Lithuania,2021-03-14
95,"MB ""Suvalkijos mėsos gaminiai""",LT 18-10,2,RM (Meat of domestic ungulates) | RPM (Meat products),CP - Cutting Plant | PP - Processing Plant,"Parko g. 3, Narto k., Liudvinavo sen., Marijampolės sav.",Nartas,LT-68124,Marijampole County,Lithuania,2021-03-09
96,"MB ,,Ostvalds fabrica""",LT49-11 P EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Jovarų g. 44, Liutonių k., Žiežmarių apyl. sen., Kaišiadorių r. sav., LT-56204",Liutonys,,Kaunas County,Lithuania,2021-03-18
97,"MB ,,Vidneras""",LT49-15EB,1,RPM (Meat products),PP - Processing Plant,"Vytauto Didžiojo g. 112A, Kaišiadorys, Kaišiadorių r. sav.",Kaišiadorys,LT-56111,Kaunas County,Lithuania,2021-03-18
98,MB Aksnita,LT 01-074 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Liepkalnio g. 188,Vilnius,LT-08200,Vilnius County,Lithuania,2021-03-25
99,MB Avidus,LT 41-12,1,GM (Meat of farmed game),SH - Slaughterhouse,Švenčionių g. 114,Nemenčinė,LT-15168,Vilnius County,Lithuania,2021-03-23
100,MB Bajorų mėsa,LT 41-017 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Pakovarniškių k., Marijampolio sen., Vilniaus r.",Pakovarniškės,,Vilnius County,Lithuania,2021-03-25
101,MB Brazių ūkis,LT 42-009,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Elektrėnų sav., Vievis, Vilniaus g. 29",Vievis,LT-21376,Vilnius County,Lithuania,2021-03-22
102,MB Brolių mėsinė,LT 01-111 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Kalvarijų g. 61,Vilnius,09304,Vilnius County,Lithuania,2021-03-25
103,MB Dumus,LT 01-107 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Juodasis kelias 30,Vilnius,11346,Vilnius County,Lithuania,2021-03-25
104,MB Dūmykla,01-105 M,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,Petro Baublio g. 1a,Vilnius,08419,Vilnius County,Lithuania,2021-03-16
105,"MB FOOD LT, UAB",520001537; 520001536,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
106,MB Grainis,520001369,1,SPR (Sprouts),PdP - Producing Plant,"Universiteto g. 8A, Akademija, LT-53341 Kaunas",Kaunas,LT-44240,Kaunas County,Lithuania,2020-01-15
107,MB Grundalas,LT66-33 EB,1,FFP (Fishery products - EU),PP - Processing Plant,"Tilvyčio g. 124, Vaišvilčių II k., LT-38292",Vaišvilčiai II,LT-38365,Panevezys County,Lithuania,2021-03-16
