stt,ten_cong_ty,ma_phe_duyet,so_luong_nganh_cap_phep,cac_nganh_hoat_dong,cac_hoat_dong_chi_tiet,dia_chi,thanh_pho,ma_buu_chinh,vung_tinh,quoc_gia,ngay_cap_nhat_moi_nhat
429,UAB Našmita,LT 01-20 EB,1,RPM (Meat products),PP - Processing Plant,Ukrainiečių g. 32,Vilnius,LT-11351,Vilnius County,Lithuania,2021-03-25
430,UAB Nordnet,52-01,1,GEN (General activity establishment - EU),CS - Cold Stores,"Marijampolės g. 27, Pagiriai, Garliavos sen., Kauno r.",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-19
431,UAB Northern Supplies,33MTSPĮ-274,1,GEN (General activity establishment - EU),WM - Wholesale Market,"B. Brazdžionio g. 21, Kaunas",Kaunas,LT-48134,Kaunas County,Lithuania,2021-04-09
432,UAB Norvelina,52-18,1,RPM (Meat products),PP - Processing Plant,"Svirno g.2, Eigirgalos k., Domeikavos sen., Kauno raj.",Eigirgalos k.,LT-54341,Kaunas County,Lithuania,2021-03-16
433,UAB Oksvidos mėsa,LT57-10 EB,1,RM (Meat of domestic ungulates),SH - Slaughterhouse,"Stuburų 1, Salamiesčio k., Alizavos sen., Kupiškio r., LT-40438",Salamiestis,LT-40438,Panevezys County,Lithuania,2025-04-24
434,UAB Olkusjana,LT 85-18,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | GM (Meat of farmed game)",MP - Meat Preparation Plant | SH - Slaughterhouse,Lydos g. 32,Jasiūnai,LT-17247,Vilnius County,Lithuania,2023-06-08
435,UAB Orka foods,68-03P; 68-06; 520001878; 68-05,4,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | FFP (Fishery products - EU) | GEN (General activity establishment - EU) | RPM (Meat products)",PP - Processing Plant | WM - Wholesale Market,"Birutės skg. 10, Macenių k., Plungės r. sav.",Maceniai,LT-90100,Telsiai County,Lithuania,2021-03-23
436,UAB Orteda,190011324; 19-28,2,GEN (General activity establishment - EU) | PM (Meat from poultry and lagomorphs),WM - Wholesale Market | CS - Cold Stores; WM - Wholesale Market | CP - Cutting Plant,"Draugystės g. 19, Kaunas",Kaunas,LT-51178,Kaunas County,Lithuania,2021-03-19
437,UAB PELICANO FOOD,190010121,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno m. sav., Kaunas, Taikos pr. 94",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
438,UAB PRO INDUSTRIJA,LT 21-18 EB,1,FFP (Fishery products - EU),PP - Processing Plant,Turgaus g. 5-4,Klaipėda,LT-91247,Klaipeda County,Lithuania,2021-03-12
439,UAB Pajuva,LT 27-05 EB,1,GEN (General activity establishment - EU),RW - Re-wrapping Establishment,"Rėklių g. 1 A, Panevėžys",Panevežys,35101,Panevezys County,Lithuania,2021-03-16
440,UAB Palink,LT 01-15 EB,1,FFP (Fishery products - EU),FFPP - Fresh Fishery Products Plant,Kirtimų g. 57D,Vilnius,02244,Vilnius County,Lithuania,2021-03-25
441,UAB Palink-kulinarijos centras,LT66-05 EB,1,RPM (Meat products),PP - Processing Plant,"J. Tilvyčio g. 179, Vaišvilčių I k., Panevėžio r., LT-38292",Vaišvilčiai I,LT-38365,Panevezys County,Lithuania,2021-03-16
442,UAB Petro mėsinė,LT27-03 EB,1,RPM (Meat products),PP - Processing Plant,"Beržų g. 8, LT-36233",Panevėžys,LT-35001,Panevezys County,Lithuania,2021-03-16
443,UAB Pieno partneriai,68-15P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",CC - Collection Centre,Birutės g. 49A,Plungė,LT-90122,Telsiai County,Lithuania,2021-03-22
444,UAB Pilkasis ruonis,52-13,1,RPM (Meat products),PP - Processing Plant,"Baterijos pl. 1, Kaunas",Kaunas,LT-45375,Kaunas County,Lithuania,2021-03-17
445,UAB Plungės kooperatinė prekyba,68-08; 190011861; 520001873,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | WM - Wholesale Market,Birutės g. 50,Plungė,LT-90112,Telsiai County,Lithuania,2021-03-22
446,UAB Plungės šaltis,68-10,1,FFP (Fishery products - EU),PP - Processing Plant,Stoties g. 9,Plungė,LT-90115,Telsiai County,Lithuania,2021-03-22
447,UAB Prosperity A,660000823,1,GEN (General activity establishment - EU),WM - Wholesale Market,"J. Tilvyčio g. 124., Vaišvilčių II k., Panevėžio r.",Vaišvilčiai II,LT-38365,Panevezys County,Lithuania,2021-03-19
448,UAB Proximus Global,LT 01-04 EB,1,GEN (General activity establishment - EU),CS - Cold Stores,Sandėlių g. 44B,Vilnius,02246,Vilnius County,Lithuania,2021-03-23
449,UAB RASEINIŲ ŽUVININKYSTĖ,LT 72-07,1,FFP (Fishery products - EU),PP - Processing Plant,"Pramonės g. 1, Gabšių k., Raseinių sen., Raseinių r.",Gabšiai,LT-60180,Kaunas County,Lithuania,2021-03-15
450,UAB REITAN CONVENIENCE LITHUANIA,190008846,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno r. sav., Garliavos sen., Pagirių k., Marijampolės g. 27",Pagiriai,LT-53282,Kaunas County,Lithuania,2021-03-18
451,UAB REKETUKAS,LT 71-09 EB,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,"Pkaruojo street 2, Radviliskis disctrict",Gražioniai,LT-82481,Siauliai County,Lithuania,2025-09-19
452,UAB RENGMĖ,LT29-09,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | RW - Re-wrapping Establishment; CS - Cold Stores,"Šiauliai, Kupiškio g. 7",Šiauliai,LT-76146,Siauliai County,Lithuania,2022-05-19
453,UAB RIMGEMA,190010983,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr. Kauno m. sav., Kaunas, Europos pr. 38",Kaunas,LT-46369,Kaunas County,Lithuania,2021-03-18
454,UAB RIMI LIETUVA,01-41; LT 01-40 EB; 19-09,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products)",MP - Meat Preparation Plant; MM - Minced Meat Plant | MP - Meat Preparation Plant | MM - Minced Meat Plant; MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Saltoniškių g. 9, Vilnius",Vilnius,08105,Vilnius County,Lithuania,2021-03-25
455,UAB RIVONA,LT 11-01P; 53-09; 520001358; 530000141; 87-10; 53-06,5,"MMP (Raw milk, dairy products, colostrum and colostrum-based products) | FFP (Fishery products - EU) | GEN (General activity establishment - EU) | RM (Meat of domestic ungulates) | RPM (Meat products)",PP - Processing Plant | WM - Wholesale Market | SH - Slaughterhouse; CP - Cutting Plant,Putinų g. 33,Alytus,LT-62114,Alytus County,Lithuania,2025-11-27
456,UAB RIVONA Greitai gendančių maisto produktų sandėlys,530000586,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Pramonės g., 15, Kėdainiai",Kėdainiai,LT-57241,Kaunas County,Lithuania,2021-03-18
457,UAB RSP,19-05,2,FFP (Fishery products - EU) | GEN (General activity establishment - EU),PP - Processing Plant | WM - Wholesale Market,"Taikos pr. 106D, Kaunas",Kaunas,LT-52265,Kaunas County,Lithuania,2021-03-19
458,UAB RUNEDA,190008839,1,GEN (General activity establishment - EU),WM - Wholesale Market,"Kauno apskr., Kauno m. sav., Kaunas, Dvarų g. 47",Kaunas,LT-46399,Kaunas County,Lithuania,2021-03-19
459,UAB Ramvida,19-01,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Draugystės g.19, Kaunas",Kaunas,LT-51230,Kaunas County,Lithuania,2021-03-19
460,UAB Ratutela,19-14,1,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM)",MP - Meat Preparation Plant,"Veiverių g. 151, Kaunas",Kaunas,LT-46417,Kaunas County,Lithuania,2021-03-19
461,UAB Raučulys,52-08,3,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | RPM (Meat products)",MP - Meat Preparation Plant | CP - Cutting Plant | PP - Processing Plant,"Čekiškės g. 86, Vilkija, Kauno raj.",Vilkija,LT-54221,Kaunas County,Lithuania,2021-03-19
462,UAB Redvida,LT 79-10,1,GEN (General activity establishment - EU),CS - Cold Stores; WM - Wholesale Market,Aluonos g. 37,Jelščizna,LT-21171,Vilnius County,Lithuania,2021-03-26
463,UAB Restera,LT 78-05 EB,1,RPM (Meat products),PP - Processing Plant,"Statybininkų g.3, Telšiai",Telšiai,LT-87101,Telsiai County,Lithuania,2021-03-19
464,UAB Revijoma,61-04,4,"MM (Minced meat, meat preparations and mechanically separated meat – MM, MP, MSM) | RM (Meat of domestic ungulates) | GM (Meat of farmed game) | RPM (Meat products)",MM - Minced Meat Plant; MP - Meat Preparation Plant | SH - Slaughterhouse; CP - Cutting Plant | PP - Processing Plant,"Viekšnių g. 33, Užventes km. Viekšniu sen. Mažeikių r. sav., Telšių apskr.",Užventes k.,LT-89494,Telsiai County,Lithuania,2021-03-17
465,UAB Riamona,LT 33-13EB,1,RPM (Meat products),PP - Processing Plant,"Taikos g. 94, Verebiejų k., Simno sen., Alytaus r. sav.",Verabiejai,LT-64353,Alytus County,Lithuania,2024-02-29
466,UAB Rineka,LT 54-05,1,RPM (Meat products),PP - Processing Plant,"Šiaulių g.2, Beržėnų k., Užvenčio sen., Kelmės r. sav. LT-86357",Kelmė,LT-86137,Siauliai County,Lithuania,2021-03-19
467,UAB Ristva ir Ko,LT66-31 EB,1,RPM (Meat products),PP - Processing Plant,"Kapinės g. 3, Daukniūnų k., LT-38361",Daukniūnai,LT-35290,Panevezys County,Lithuania,2021-03-16
468,UAB Rokiškio pieno gamyba,LT 81-01P,1,"MMP (Raw milk, dairy products, colostrum and colostrum-based products)",PP - Processing Plant,Kauno g. 65,Ukmergė,LT-20118,Vilnius County,Lithuania,2021-03-22
469,UAB Romega,52-27,2,GEN (General activity establishment - EU) | PM (Meat from poultry and lagomorphs),CS - Cold Stores; WM - Wholesale Market; RW - Re-wrapping Establishment | CP - Cutting Plant,"S. Lozoraičio g. 17E, Garliava, Kauno raj.",Garliava,LT-50111,Kaunas County,Lithuania,2021-03-19
470,UAB Rūkoriai,LT 01-083 Ž; LT 13-107 Ž,1,FFP (Fishery products - EU),PP - Processing Plant,Tarandės g. 9,Vilnius,LT-08200,Vilnius County,Lithuania,2021-03-26
